Air Date,Airdate,City,Country,Day,Description,Episode,Latitude,Longitude,Month1,Month,Number of Records,Order,Region,Season,Show,Source,State,Title,Year
5/1/2006,"May 1, 2006",Cayey,Puerto Rico,1,"Tony visits Puerto Rico and tries to see the less-touristic side of the island. After a bad start drinking a piña colada at the bar where the drink was invented, he enjoys roast pork at a lechonera, as well as mofongo, goes scuba-diving in an unsuccessful attempt to catch a giant lobster, and tries horseback riding. He also searches for the mythical chupacabra and goes sparring with boxing champion Miguel Cotto. He visits a music festival and enjoys chicharrón in Bayamón.",6,18.111905,-66.166,5,May,1,82,Central America,2,No Reservations,https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt,,Puerto Rico,2006
5/1/2006,"May 1, 2006",Isabela,Puerto Rico,1,"Tony visits Puerto Rico and tries to see the less-touristic side of the island. After a bad start drinking a piña colada at the bar where the drink was invented, he enjoys roast pork at a lechonera, as well as mofongo, goes scuba-diving in an unsuccessful attempt to catch a giant lobster, and tries horseback riding. He also searches for the mythical chupacabra and goes sparring with boxing champion Miguel Cotto. He visits a music festival and enjoys chicharrón in Bayamón.",6,18.470386,-67.024206,5,May,1,83,Central America,2,No Reservations,https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt,,Puerto Rico,2006
5/1/2006,"May 1, 2006",Ponce,Puerto Rico,1,"Tony visits Puerto Rico and tries to see the less-touristic side of the island. After a bad start drinking a piña colada at the bar where the drink was invented, he enjoys roast pork at a lechonera, as well as mofongo, goes scuba-diving in an unsuccessful attempt to catch a giant lobster, and tries horseback riding. He also searches for the mythical chupacabra and goes sparring with boxing champion Miguel Cotto. He visits a music festival and enjoys chicharrón in Bayamón.",6,18.011077,-66.614062,5,May,1,84,Central America,2,No Reservations,https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt,,Puerto Rico,2006
5/1/2006,"May 1, 2006",San Juan,Puerto Rico,1,"Tony visits Puerto Rico and tries to see the less-touristic side of the island. After a bad start drinking a piña colada at the bar where the drink was invented, he enjoys roast pork at a lechonera, as well as mofongo, goes scuba-diving in an unsuccessful attempt to catch a giant lobster, and tries horseback riding. He also searches for the mythical chupacabra and goes sparring with boxing champion Miguel Cotto. He visits a music festival and enjoys chicharrón in Bayamón.",6,18.465539,-66.105735,5,May,1,85,Central America,2,No Reservations,https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt,,Puerto Rico,2006
5/1/2006,"May 1, 2006",Vega Baja,Puerto Rico,1,"Tony visits Puerto Rico and tries to see the less-touristic side of the island. After a bad start drinking a piña colada at the bar where the drink was invented, he enjoys roast pork at a lechonera, as well as mofongo, goes scuba-diving in an unsuccessful attempt to catch a giant lobster, and tries horseback riding. He also searches for the mythical chupacabra and goes sparring with boxing champion Miguel Cotto. He visits a music festival and enjoys chicharrón in Bayamón.",6,18.446922,-66.397314,5,May,1,86,Central America,2,No Reservations,https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt,,Puerto Rico,2006
5/8/2006,"May 8, 2006",Osaka,Japan,8,"Anthony Bourdain's Japanese adventure begins in Osaka at an underground bar devoted to the hardcore fans of the local baseball team, the Hanshin Tigers. Then he goes to the Kiso Valley for some relaxation.",7,34.693738,135.502165,5,May,1,87,Asia,2,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Japan,2006
5/22/2006,"May 22, 2006",Del Rio,United States,22,"Tony visits Piedras Negras, Mexico, and border towns in Texas, where he sees the influences that the countries have had on each other. He also visits the Mexican restaurant credited with inventing nachos.",8,29.370886,-100.895867,5,May,1,88,North America,2,No Reservations,https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt,Texas,US/Mexico Border,2006
5/22/2006,"May 22, 2006",Rio Grande,United States,22,"Tony visits Piedras Negras, Mexico, and border towns in Texas, where he sees the influences that the countries have had on each other. He also visits the Mexican restaurant credited with inventing nachos.",8,26.379787,-98.820305,5,May,1,89,North America,2,No Reservations,https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt,Texas,US/Mexico Border,2006
5/22/2006,"May 22, 2006",Laredo,United States,22,"Tony visits Piedras Negras, Mexico, and border towns in Texas, where he sees the influences that the countries have had on each other. He also visits the Mexican restaurant credited with inventing nachos.",8,27.530567,-99.480324,5,May,1,90,North America,2,No Reservations,https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt,Texas,US/Mexico Border,2006
5/22/2006,"May 22, 2006",Eagle Pass,United States,22,"Tony visits Piedras Negras, Mexico, and border towns in Texas, where he sees the influences that the countries have had on each other. He also visits the Mexican restaurant credited with inventing nachos.",8,28.709143,-100.499521,5,May,1,91,North America,2,No Reservations,https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt,Texas,US/Mexico Border,2006
5/22/2006,"May 22, 2006",Coahuíla,Mexico,22,"Tony visits Piedras Negras, Mexico, and border towns in Texas, where he sees the influences that the countries have had on each other. He also visits the Mexican restaurant credited with inventing nachos.",8,27.058676,-101.706829,5,May,1,92,North America,2,No Reservations,https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt,,US/Mexico Border,2006
5/22/2006,"May 22, 2006",Monterrey,Mexico,22,"Tony visits Piedras Negras, Mexico, and border towns in Texas, where he sees the influences that the countries have had on each other. He also visits the Mexican restaurant credited with inventing nachos.",8,25.686614,-100.316113,5,May,1,93,North America,2,No Reservations,https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt,,US/Mexico Border,2006
5/22/2006,"May 22, 2006",Tamaulipas,Mexico,22,"Tony visits Piedras Negras, Mexico, and border towns in Texas, where he sees the influences that the countries have had on each other. He also visits the Mexican restaurant credited with inventing nachos.",8,24.26694,-98.836275,5,May,1,94,North America,2,No Reservations,https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt,,US/Mexico Border,2006
5/29/2006,"May 29, 2006",Jaisalmer,India,29,"Tony visits the state of Rajasthan in India. He visits the city of Udaipur and enjoys a vegetarian thali, then attends a dinner and lavish party hosted by the Maharana of Udaipur. He visits a local chef for a home-cooked meal and spends time with a guru in an ashram in the city of Jodhpur. He takes a long bus ride to the city of Jaisalmer and experiences the Jaisalmer Desert Festival.",9,26.915749,70.908344,5,May,1,95,Asia,2,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,India (Rajasthan),2006
5/29/2006,"May 29, 2006",Jodhpur,India,29,"Tony visits the state of Rajasthan in India. He visits the city of Udaipur and enjoys a vegetarian thali, then attends a dinner and lavish party hosted by the Maharana of Udaipur. He visits a local chef for a home-cooked meal and spends time with a guru in an ashram in the city of Jodhpur. He takes a long bus ride to the city of Jaisalmer and experiences the Jaisalmer Desert Festival.",9,26.238947,73.024309,5,May,1,96,Asia,2,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,India (Rajasthan),2006
5/29/2006,"May 29, 2006",Udaipur,India,29,"Tony visits the state of Rajasthan in India. He visits the city of Udaipur and enjoys a vegetarian thali, then attends a dinner and lavish party hosted by the Maharana of Udaipur. He visits a local chef for a home-cooked meal and spends time with a guru in an ashram in the city of Jodhpur. He takes a long bus ride to the city of Jaisalmer and experiences the Jaisalmer Desert Festival.",9,24.585445,73.712479,5,May,1,97,Asia,2,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,India (Rajasthan),2006
6/5/2006,"June 5, 2006",Kolkata,India,5,"Over the years, Tony Bourdain has fallen in love with India. The culture, the cuisine, the communities - it's all delicious and enchanting. Tony travels to Kolkata and Mumbai, formerly Calcutta and Bombay, to rediscover the magic of this beautiful land. While on his journey here he learns how to play cricket.",10,22.572646,88.363895,6,June,1,98,Asia,2,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,India (Kolkata/Mumbai),2006
6/5/2006,"June 5, 2006",Mumbai,India,5,"Over the years, Tony Bourdain has fallen in love with India. The culture, the cuisine, the communities - it's all delicious and enchanting. Tony travels to Kolkata and Mumbai, formerly Calcutta and Bombay, to rediscover the magic of this beautiful land. While on his journey here he learns how to play cricket.",10,19.075984,72.877656,6,June,1,99,Asia,2,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,India (Kolkata/Mumbai),2006
6/12/2006,"June 12, 2006",Seoul,South Korea,12,"Tony visits Seoul in South Korea, as well as a town near the Korean Demilitarized Zone, accompanied by Nari Kye, an assistant on No Reservations. They visit a martial arts class and a spa and try live octopus, kimchi, Korean barbecue and soju. They also meet Kye's family.",11,37.566535,126.977969,6,June,1,100,Asia,2,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Korea,2006
6/19/2006,"June 19, 2006",Bali,Indonesia,19,"Bourdain visit Jakarta where he is entertained by Pencak Silat martial art where performers showcased their ability to withstood torture, which shocked Bourdain. Then he enjoyed Padang cuisine, including the famed Rendang. During the shooting, the cameraman accidentally wrecked the stacked food plates on display. He then visit Garut where he watch Ram fighting, joining traditional dance and enjoying local cuisine, before relaxing at id:Kampung Sampireun Hotel Garut. He then travel to Bali to enjoy its famous delicacy Babi Guling.",12,-8.409518,115.188916,6,June,1,101,Asia,2,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Indonesia,2006
6/19/2006,"June 19, 2006",Jakarta,Indonesia,19,"Bourdain visit Jakarta where he is entertained by Pencak Silat martial art where performers showcased their ability to withstood torture, which shocked Bourdain. Then he enjoyed Padang cuisine, including the famed Rendang. During the shooting, the cameraman accidentally wrecked the stacked food plates on display. He then visit Garut where he watch Ram fighting, joining traditional dance and enjoying local cuisine, before relaxing at id:Kampung Sampireun Hotel Garut. He then travel to Bali to enjoy its famous delicacy Babi Guling.",12,-6.17511,106.865039,6,June,1,102,Asia,2,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Indonesia,2006
7/3/2006,"July 3, 2006",Barcelona,Spain,3,"Bourdain travels to Spain and visits the research laboratory of Ferran Adrià, renowned chef of el Bulli.",13,41.385064,2.173403,7,July,1,103,Europe,2,No Reservations,https://www.travelchannel.com/shows/anthony-bourdain/episodes/anthony-bourdain-no-reservations-decoding-ferran-adria,,Special: Decoding Ferran Adria,2006
8/21/2006,"August 21, 2006",Beirut,Lebanon,21,"Anthony Bourdain and his crew travel to Lebanon. They discover a beautiful country filled with proud, generous people and delicious food. However, they find themselves in the middle of a tense, uncertain, and violent conflict., the Israel-Lebanon War.",14,33.893791,35.501777,8,August,1,104,Middle East,2,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Special: Anthony Bourdain in Beirut,2006
1/1/2007,"January 1, 2007",Belfast,United Kingdom,1,"Tony visits Dublin and Belfast in Ireland, where he explores the legacy of The Troubles. He samples Irish stew, Guinness and some high-end restaurants, including those of chefs Paul Rankin and Seamus O'Connell.",1,54.597285,-5.93012,1,January,1,105,Europe,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Ireland,2007
1/1/2007,"January 1, 2007",Dublin,United Kingdom,1,"Tony visits Dublin and Belfast in Ireland, where he explores the legacy of The Troubles. He samples Irish stew, Guinness and some high-end restaurants, including those of chefs Paul Rankin and Seamus O'Connell.",1,53.349805,-6.26031,1,January,1,106,Europe,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Ireland,2007
1/8/2007,"January 8, 2007",Accra,Ghana,8,"Tony visits Ghana for the first time. In Accra, he samples food such as kenkey and palm wine at the bustling Makola Market, and meets tourism minister Jacob Otanka Obetsebi-Lamptey at the beach, where they help bring in a fish haul and enjoy prepared seafood such as barracuda. He then goes on a tour of the countryside, meeting shea nut harvesters, enjoying the highlife music of Koo Nimo, and seeing kente cloth spinners in action.",2,5.603717,-0.186964,1,January,1,107,Africa,3,No Reservations,https://www.imdb.com/title/tt0943556/locations?ref_=tt_dt_dt,,Ghana,2007
1/8/2007,"January 8, 2007",Adanwomase,Ghana,8,"Tony visits Ghana for the first time. In Accra, he samples food such as kenkey and palm wine at the bustling Makola Market, and meets tourism minister Jacob Otanka Obetsebi-Lamptey at the beach, where they help bring in a fish haul and enjoy prepared seafood such as barracuda. He then goes on a tour of the countryside, meeting shea nut harvesters, enjoying the highlife music of Koo Nimo, and seeing kente cloth spinners in action.",2,6.831355,-1.462624,1,January,1,108,Africa,3,No Reservations,https://www.imdb.com/title/tt0943556/locations?ref_=tt_dt_dt,,Ghana,2007
1/8/2007,"January 8, 2007",Ashanti,Ghana,8,"Tony visits Ghana for the first time. In Accra, he samples food such as kenkey and palm wine at the bustling Makola Market, and meets tourism minister Jacob Otanka Obetsebi-Lamptey at the beach, where they help bring in a fish haul and enjoy prepared seafood such as barracuda. He then goes on a tour of the countryside, meeting shea nut harvesters, enjoying the highlife music of Koo Nimo, and seeing kente cloth spinners in action.",2,6.747044,-1.520862,1,January,1,109,Africa,3,No Reservations,https://www.imdb.com/title/tt0943556/locations?ref_=tt_dt_dt,,Ghana,2007
1/8/2007,"January 8, 2007",Beyin,Ghana,8,"Tony visits Ghana for the first time. In Accra, he samples food such as kenkey and palm wine at the bustling Makola Market, and meets tourism minister Jacob Otanka Obetsebi-Lamptey at the beach, where they help bring in a fish haul and enjoy prepared seafood such as barracuda. He then goes on a tour of the countryside, meeting shea nut harvesters, enjoying the highlife music of Koo Nimo, and seeing kente cloth spinners in action.",2,4.98847,-2.590404,1,January,1,110,Africa,3,No Reservations,https://www.imdb.com/title/tt0943556/locations?ref_=tt_dt_dt,,Ghana,2007
1/8/2007,"January 8, 2007",Mole Game Reserve,Ghana,8,"Tony visits Ghana for the first time. In Accra, he samples food such as kenkey and palm wine at the bustling Makola Market, and meets tourism minister Jacob Otanka Obetsebi-Lamptey at the beach, where they help bring in a fish haul and enjoy prepared seafood such as barracuda. He then goes on a tour of the countryside, meeting shea nut harvesters, enjoying the highlife music of Koo Nimo, and seeing kente cloth spinners in action.",2,9.5,-2,1,January,1,111,Africa,3,No Reservations,https://www.imdb.com/title/tt0943556/locations?ref_=tt_dt_dt,,Ghana,2007
1/8/2007,"January 8, 2007",Nzulezo,Ghana,8,"Tony visits Ghana for the first time. In Accra, he samples food such as kenkey and palm wine at the bustling Makola Market, and meets tourism minister Jacob Otanka Obetsebi-Lamptey at the beach, where they help bring in a fish haul and enjoy prepared seafood such as barracuda. He then goes on a tour of the countryside, meeting shea nut harvesters, enjoying the highlife music of Koo Nimo, and seeing kente cloth spinners in action.",2,5.020827,-2.597921,1,January,1,112,Africa,3,No Reservations,https://www.imdb.com/title/tt0943556/locations?ref_=tt_dt_dt,,Ghana,2007
1/15/2007,"January 15, 2007",Portland,United States,15,"In Portland, Tony samples unique donuts and pizza, explores the history of the underground, and goes camping with some old friends. He takes in the sights of Pike Place Market, enjoys a Gypsy dinner, tries some Puget Sound geoduck, and spends time with a meat curer friend in Seattle.",3,45.512231,-122.658719,1,January,1,113,North America,3,No Reservations,https://www.imdb.com/title/tt0943559/locations?ref_=tt_dt_dt,Oregon,Pacific Northwest,2007
1/15/2007,"January 15, 2007",Seattle,United States,15,"In Portland, Tony samples unique donuts and pizza, explores the history of the underground, and goes camping with some old friends. He takes in the sights of Pike Place Market, enjoys a Gypsy dinner, tries some Puget Sound geoduck, and spends time with a meat curer friend in Seattle.",3,47.606209,-122.332071,1,January,1,114,North America,3,No Reservations,https://www.imdb.com/title/tt0943559/locations?ref_=tt_dt_dt,Washington,Pacific Northwest,2007
1/15/2007,"January 15, 2007",Shelton,United States,15,"In Portland, Tony samples unique donuts and pizza, explores the history of the underground, and goes camping with some old friends. He takes in the sights of Pike Place Market, enjoys a Gypsy dinner, tries some Puget Sound geoduck, and spends time with a meat curer friend in Seattle.",3,47.215094,-123.100707,1,January,1,115,North America,3,No Reservations,https://www.imdb.com/title/tt0943559/locations?ref_=tt_dt_dt,Washington,Pacific Northwest,2007
1/22/2007,"January 22, 2007",Katutura,Namibia,22,"In Namibia, Tony's friend and guide, Garrett, introduces Tony to the fine art of sandboarding. German immigrant Hans takes Tony on a hunt for famous Namibian truffles and then for the poster-animal for Namibia.",4,-22.521134,17.059849,1,January,1,116,Africa,3,No Reservations,https://www.imdb.com/title/tt0943558/locations?ref_=tt_dt_dt,,Namibia,2007
1/22/2007,"January 22, 2007",Khomas,Namibia,22,"In Namibia, Tony's friend and guide, Garrett, introduces Tony to the fine art of sandboarding. German immigrant Hans takes Tony on a hunt for famous Namibian truffles and then for the poster-animal for Namibia.",4,-22.637785,17.101193,1,January,1,117,Africa,3,No Reservations,https://www.imdb.com/title/tt0943558/locations?ref_=tt_dt_dt,,Namibia,2007
1/22/2007,"January 22, 2007",Walvis Bay,Namibia,22,"In Namibia, Tony's friend and guide, Garrett, introduces Tony to the fine art of sandboarding. German immigrant Hans takes Tony on a hunt for famous Namibian truffles and then for the poster-animal for Namibia.",4,-22.958408,14.505751,1,January,1,118,Africa,3,No Reservations,https://www.imdb.com/title/tt0943558/locations?ref_=tt_dt_dt,,Namibia,2007
1/22/2007,"January 22, 2007",Windhoek,Namibia,22,"In Namibia, Tony's friend and guide, Garrett, introduces Tony to the fine art of sandboarding. German immigrant Hans takes Tony on a hunt for famous Namibian truffles and then for the poster-animal for Namibia.",4,-22.560881,17.065755,1,January,1,119,Africa,3,No Reservations,https://www.imdb.com/title/tt0943558/locations?ref_=tt_dt_dt,,Namibia,2007
1/29/2007,"January 29, 2007",Moscow,Russia,29,"Tony visits Moscow, Russia, accompanied by Zamir Gotta. They explore Moscow's Soviet history, including lunch with former KGB chief Victor Cherkashin, as well as some of the hangouts of Moscow's newly rich. Tony then arranges for Zamir to get a painful spa treatment as payback for the massage Tony got in Uzbekistan.",5,55.755826,37.6173,1,January,1,120,Europe,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Russia,2007
2/5/2007,"February 5, 2007",Los Angeles,United States,5,"Tony visits Los Angeles, in search of the local culture, away from the glitz and glamor of Hollywood. He dines at Roscoe's Chicken and Waffles with writer and screenwriter Jerry Stahl. He meets a women's roller derby team, and has French dip sandwiches with them at Philippe's, which claims to have invented the French dip sandwich. He eats at a Mexican restaurant with a mariachi band, and visits the neighborhood of Thai Town. Tony trains with the Hawthorne SWAT team.",6,34.052234,-118.243685,2,February,1,121,North America,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,California,Los Angeles,2007
7/30/2007,"July 30, 2007",Dali,China,30,"Tony heads back to China and visits Shanghai, a budding economic superpower, where he discovers that Shanghai is considered the dumpling capital of the world made famous by its soup dumpling. Tony then heads to Yunnan province. In Dali, he learns from the Bai ethnic minority people a unique way of catching fish. From there, he works his way north to Lijiang, then to Zhongdian, an ethnically Tibetan area, in search of the valley of Shangri-La as described in British author James Hilton's novel Lost Horizon. The Lijiang/Zhongdian area is believed by many to have been the inspiration for the mythical Shangri-la.",7,25.606486,100.267638,7,July,1,122,Asia,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,From Shanghai to Shangri-la,2007
7/30/2007,"July 30, 2007",Lijiang,China,30,"Tony heads back to China and visits Shanghai, a budding economic superpower, where he discovers that Shanghai is considered the dumpling capital of the world made famous by its soup dumpling. Tony then heads to Yunnan province. In Dali, he learns from the Bai ethnic minority people a unique way of catching fish. From there, he works his way north to Lijiang, then to Zhongdian, an ethnically Tibetan area, in search of the valley of Shangri-La as described in British author James Hilton's novel Lost Horizon. The Lijiang/Zhongdian area is believed by many to have been the inspiration for the mythical Shangri-la.",7,26.855047,100.22775,7,July,1,123,Asia,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,From Shanghai to Shangri-la,2007
7/30/2007,"July 30, 2007",Shanghai,China,30,"Tony heads back to China and visits Shanghai, a budding economic superpower, where he discovers that Shanghai is considered the dumpling capital of the world made famous by its soup dumpling. Tony then heads to Yunnan province. In Dali, he learns from the Bai ethnic minority people a unique way of catching fish. From there, he works his way north to Lijiang, then to Zhongdian, an ethnically Tibetan area, in search of the valley of Shangri-La as described in British author James Hilton's novel Lost Horizon. The Lijiang/Zhongdian area is believed by many to have been the inspiration for the mythical Shangri-la.",7,31.23039,121.473702,7,July,1,124,Asia,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,From Shanghai to Shangri-la,2007
7/30/2007,"July 30, 2007",Zhangdian,China,30,"Tony heads back to China and visits Shanghai, a budding economic superpower, where he discovers that Shanghai is considered the dumpling capital of the world made famous by its soup dumpling. Tony then heads to Yunnan province. In Dali, he learns from the Bai ethnic minority people a unique way of catching fish. From there, he works his way north to Lijiang, then to Zhongdian, an ethnically Tibetan area, in search of the valley of Shangri-La as described in British author James Hilton's novel Lost Horizon. The Lijiang/Zhongdian area is believed by many to have been the inspiration for the mythical Shangri-la.",7,36.806669,118.017938,7,July,1,125,Asia,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,From Shanghai to Shangri-la,2007
8/6/2007,"August 6, 2007",New York,United States,6,"Tony visits the late-night haunts of his hometown of New York City, including a Russian-style night out in Brighton Beach with author Gary Shteyngart, Gray's Papaya, a Japanese izakaya, Siberia Bar with fellow food travel show host Andrew Zimmern, and a favorite of after-work chefs, The Spotted Pig. He also takes a trip to Yankee Stadium.",8,40.712775,-74.005973,8,August,1,126,North America,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,New York,New York City,2007
8/13/2007,"August 13, 2007",São Paulo,Brazil,13,"Tony tries to enjoy São Paulo, Brazil as a native paulistano would, with the help of some fun-loving locals. He samples mortadella sandwich, feijoada and many types of meat, including bull testicles, and drinks copious amounts of caipirinha. He lounges on the beach, plays some soccer, and observes preparations for the upcoming carnaval.",9,-23.55052,-46.633309,8,August,1,127,South America,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Brazil,2007
8/20/2007,"August 20, 2007","Pape'ete, Tahiti",French Polynesia,20,"Tony retraces French post-Impressionist artist Paul Gauguin's travels through Tahiti, Tuamotu Archipelago, and the Marquesas Islands to see what drew the him there. During Tony's stay, he wrangles a shark, learns about Marquesan art such as tikis, and get inked with a Marquesan tattoo.",10,-17.551625,-149.558476,8,August,1,128,Oceania,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,French Polynesia,2007
8/20/2007,"August 20, 2007","Rangiroa, Tuamotu Archipelago",French Polynesia,20,"Tony retraces French post-Impressionist artist Paul Gauguin's travels through Tahiti, Tuamotu Archipelago, and the Marquesas Islands to see what drew the him there. During Tony's stay, he wrangles a shark, learns about Marquesan art such as tikis, and get inked with a Marquesan tattoo.",10,-15.116228,-147.651301,8,August,1,129,Oceania,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,French Polynesia,2007
8/20/2007,"August 20, 2007","Hiva Oa Tahuata, Marquesas Islands",French Polynesia,20,"Tony retraces French post-Impressionist artist Paul Gauguin's travels through Tahiti, Tuamotu Archipelago, and the Marquesas Islands to see what drew the him there. During Tony's stay, he wrangles a shark, learns about Marquesan art such as tikis, and get inked with a Marquesan tattoo.",10,-9.762759,-139.013569,8,August,1,130,Oceania,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,French Polynesia,2007
8/27/2007,"August 27, 2007",Cleveland,United States,27,"Tony travels with food writer Michael Ruhlman to Cleveland, Ruhlman's home town. They have Cincinnati chili at Skyline Chili. Tony meets comic-book artist Harvey Pekar. He also visits the Rock and Roll Hall of Fame with Marky Ramone and spends time with chef Michael Symon, both at Symon's restaurant Lola and at a soul food restaurant. Parts of the episode are illustrated in Pekar's comic-book style.",11,41.49932,-81.694361,8,August,1,131,North America,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,Ohio,Cleveland,2007
9/3/2007,"September 3, 2007",Hong Kong,China,3,"Tony visits Hong Kong. He samples and learns about the food, like the masterful art of making noodles using a bamboo pole, chinese barbecue, and dim sum, with a local food blogger. He also films a fight scene with members of the Jackie Chan Stunt Team.",12,22.396428,114.109497,9,September,1,132,Asia,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Hong Kong,2007
9/10/2007,"September 10, 2007",Buenos Aires,Argentina,10,"In Buenos Aires, Argentina, Tony meets with reggae rock band Los Pericos and visits pioneering conceptual artist Marta Minujín at her studio. He then travels to Patagonia, where he visits the Swiss-style town of Bariloche, tries his hand at paragliding, and spends time with some gauchos, learning their lifestyle.",13,-34.603684,-58.381559,9,September,1,133,South America,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Argentina,2007
9/17/2007,"September 17, 2007",Charleston,United States,17,"Tony visits South Carolina, where he enjoys local favorites like shrimp, grits and barbecue. He also participates in a Civil War reenactment.",14,32.776475,-79.931051,9,September,1,134,North America,3,No Reservations,Could have been more cities,South Carolina,South Carolina,2007
9/24/2007,"September 24, 2007",Tuscany,Italy,24,"Tony visits Tuscany, Italy, where he samples the local wine and cheese and encounters the world's most famous butcher, The Butcher of Panzano Dario Cecchini. He also clashes with the episode's director, the Italian auteur Vincenzo Tripodo, who dreams of making the episode an homage to Dante's Inferno.",15,43.771051,11.248621,9,September,1,135,Europe,3,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Tuscany,2007
12/10/2007,"December 10, 2007",Danbury,United States,10,"Bourdain visits his brother's family in Connecticut for the holidays, with special guests Queens of the Stone Age. Tony gives a cooking tutorial on how to prepare the holiday meal. This episode was produced and directed by Rennik Soholt.",16,41.394817,-73.454011,12,December,1,136,North America,3,No Reservations,http://www2.readingeagle.com/article.aspx?id=70789,Connecticut,Holiday Special,2007
1/7/2008,"January 7, 2008",Singapore,Singapore,7,"Tony discovers the ""Hawker Centers"" (Singapore style food courts) featuring the local specialty chicken rice, sweet & spicy bone marrow soup, a shark fin dish, and spicy crab. Tony dines in a medical themed restaurant.",1,1.352083,103.819836,1,January,1,137,Asia,4,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Singapore,2008
1/14/2008,"January 14, 2008",Berlin,Germany,14,"Tony visits Berlin, Germany, and gets introduced to the city's Cold War past by a former British intelligence agent who stayed in Berlin.",2,52.520007,13.404954,1,January,1,138,Europe,4,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Berlin,2008
1/21/2008,"January 21, 2008",Vancouver,Canada,21,"Tony visits Vancouver, British Columbia, Canada, and explores the city's restaurant culture with three chef friends: Pino Posteraro, Hidekazu Tojo, and Vikram Vij. He also attempts to ski at Whistler, visits with the video gaming developers at EA Canada, and films a small role in the Uwe Boll action movie Far Cry. He also meets up with Nari Kye again.",3,49.282729,-123.120738,1,January,1,139,North America,4,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,"Vancouver, BC",2008
1/28/2008,"January 28, 2008",Crete,Greece,28,"Tony travels through the Greek Islands, from Crete to Zakynthos, in search of his own Odyssey. There, he tries sardines, sweetbread, lamb, snails, sea urchins and rakı. He also hunts, and eats, quail.",4,35.240117,24.809269,1,January,1,140,Europe,4,No Reservations,https://www.imdb.com/title/tt1189463/locations?ref_=tt_dt_dt,,Greek Islands,2008
1/28/2008,"January 28, 2008",Zakynthos,Greece,28,"Tony travels through the Greek Islands, from Crete to Zakynthos, in search of his own Odyssey. There, he tries sardines, sweetbread, lamb, snails, sea urchins and rakı. He also hunts, and eats, quail.",4,37.787033,20.899876,1,January,1,141,Europe,4,No Reservations,https://www.imdb.com/title/tt1189463/locations?ref_=tt_dt_dt,,Greek Islands,2008
